rainfall_date;mm;basin_id
2020-06-12;4.8;2070594030b
2020-06-13;5.4;2070594030b
2020-06-14;5.6;2070594030b
2020-06-15;5.1;2070594030b
2020-06-16;5.1;2070594030b
2020-06-17;5.9;2070594030b
2020-06-18;5.0;2070594030b
2020-06-19;5.2;2070594030b
2020-06-20;5.4;2070594030b
2020-06-21;5.3;2070594030b
2020-06-22;100;2070594030b
2020-06-23;120;2070594030b
2020-06-24;150;2070594030b
2020-06-25;180;2070594030b
2020-06-26;210;2070594030b
2020-06-27;220;2070594030b
2020-06-28;240;2070594030b
2020-06-29;100;2070594030b
2020-06-30;120;2070594030b
2020-07-01;150;2070594030b
2020-07-02;180;2070594030b
2020-07-03;210;2070594030b
2020-07-04;220;2070594030b
2020-07-05;240;2070594030b
2020-07-06;271.4285714;2070594030bb
2020-07-07;295.7142857;2070594030bb
2020-07-08;320.0000000;2070594030bb
2020-07-09;344.2857143;2070594030bb
2020-07-10;368.5714286;2070594030bb
2020-07-11;392.8571429;2070594030bb
2020-07-12;417.1428571;2070594030bb
2020-07-13;441.4285714;2070594030bb
2020-07-14;465.7142857;2070594030bb
2020-07-15;490.0000000;2070594030bb
2020-07-16;514.2857143;2070594030bb
2020-07-17;538.5714286;2070594030bb
2020-07-18;562.8571429;2070594030bb
2020-07-19;587.1428571;2070594030bb
2020-07-20;611.4285714;2070594030bb
2020-07-21;635.7142857;2070594030bb
2020-07-22;660.0000000;2070594030bb
2020-07-23;684.2857143;2070594030bb
2020-07-24;708.5714286;2070594030bb
2020-07-25;732.8571429;2070594030bb
2020-07-26;757.1428571;2070594030bb
2020-07-27;781.4285714;2070594030bb
2020-07-28;805.7142857;2070594030bb
2020-07-29;830.0000000;2070594030bb
2020-07-30;854.2857143;2070594030bb
2020-07-31;878.5714286;2070594030bb
2020-08-01;902.8571429;2070594030bb
2020-08-02;927.1428571;2070594030bb
2020-08-03;951.4285714;2070594030bb
2020-08-04;975.7142857;2070594030bb
2020-08-05;1000.000000;2070594030bb
