rainfall_date;mm;basin_id
2020-08-06;1024.285714;2070594030bb
2020-08-07;1048.571429;2070594030bb
2020-08-08;1072.857143;2070594030bb
2020-08-09;1097.142857;2070594030bb
2020-08-10;1121.428571;2070594030bb
2020-08-11;1145.714286;2070594030bb
2020-08-12;1170.000000;2070594030bb
2020-08-13;1194.285714;2070594030bb
2020-08-14;1218.571429;2070594030bb
2020-08-15;1242.857143;2070594030bb
2020-08-16;1267.142857;2070594030bb
2020-08-17;1291.428571;2070594030bb
2020-08-18;1315.714286;2070594030bb
2020-08-19;1340.000000;2070594030bb
2020-08-20;1364.285714;2070594030bb
2020-08-21;1388.571429;2070594030bb
2020-08-22;1412.857143;2070594030bb
2020-08-23;1437.142857;2070594030bb
2020-08-24;1461.428571;2070594030bb
2020-08-25;1485.714286;2070594030bb
2020-08-26;1510.000000;2070594030bb
2020-08-27;1534.285714;2070594030bb
2020-08-28;1558.571429;2070594030bb
2020-08-29;1582.857143;2070594030bb
2020-08-30;1607.142857;2070594030bb
2020-08-31;1631.428571;2070594030bb
2020-09-01;1655.714286;2070594030bb
2020-09-02;1680.000000;2070594030bb
2020-09-03;1704.285714;2070594030bb
2020-09-04;1728.571429;2070594030bb
2020-09-05;1752.857143;2070594030bb
2020-09-06;1777.142857;2070594030bb
2020-09-07;1801.428571;2070594030bb
2020-09-08;1825.714286;2070594030bb
2020-09-09;1850.000000;2070594030bb
2020-09-10;1874.285714;2070594030bb
2020-09-11;1898.571429;2070594030bb
2020-09-12;1922.857143;2070594030bb
2020-09-13;1947.142857;2070594030bb
2020-09-14;1971.428571;2070594030bb
2020-09-15;1995.714286;2070594030bb
2020-09-16;2020.000000;2070594030bb
2020-09-17;2044.285714;2070594030bb
2020-09-18;2068.571429;2070594030bb
2020-09-19;2092.857143;2070594030bb
2020-09-20;2117.142857;2070594030bb
2020-09-21;2141.428571;2070594030bb
2020-09-22;2165.714286;2070594030bb
2020-09-23;2190.000000;2070594030bb
2020-09-24;2214.285714;2070594030bb
2020-09-25;2238.571429;2070594030bb
2020-09-26;2262.857143;2070594030bb
2020-09-27;2287.142857;2070594030bb
2020-09-28;2311.428571;2070594030bb
2020-09-29;2335.714286;2070594030bb
2020-09-30;2360.000000;2070594030bb
2020-10-01;2384.285714;2070594030bb
2020-10-02;2408.571429;2070594030bb
2020-10-03;2432.857143;2070594030bb
2020-10-04;2457.142857;2070594030bb
2020-10-05;2481.428571;2070594030bb
2020-10-06;2505.714286;2070594030bb
2020-10-07;2530.000000;2070594030bb
2020-10-08;2554.285714;2070594030bb
2020-10-09;2578.571429;2070594030bb
2020-10-10;2602.857143;2070594030bb
2020-10-11;2627.142857;2070594030bb
2020-10-12;2651.428571;2070594030bb
2020-10-13;2675.714286;2070594030bb
2020-10-14;2700.000000;2070594030bb
2020-10-15;2724.285714;2070594030bb
2020-10-16;2748.571429;2070594030bb
2020-10-17;2772.857143;2070594030bb
2020-10-18;2797.142857;2070594030bb
2020-10-19;2821.428571;2070594030bb
2020-10-20;2845.714286;2070594030bb
2020-10-21;2870.000000;2070594030bb
2020-10-22;2894.285714;2070594030bb
2020-10-23;2918.571429;2070594030bb
2020-10-24;2942.857143;2070594030bb
2020-10-25;2967.142857;2070594030bb
2020-10-26;2991.428571;2070594030bb
2020-10-27;3015.714286;2070594030bb
2020-10-28;3040.000000;2070594030bb
2020-10-29;3064.285714;2070594030bb
2020-10-30;3088.571429;2070594030bb
2020-10-31;3112.857143;2070594030bb
2020-11-01;3137.142857;2070594030bb
2020-11-02;3161.428571;2070594030bb
2020-11-03;3185.714286;2070594030bb
2020-11-04;3210.000000;2070594030bb
2020-11-05;3234.285714;2070594030bb
2020-11-06;3258.571429;2070594030bb
2020-11-07;3282.857143;2070594030bb
2020-11-08;3307.142857;2070594030bb
2020-11-09;3331.428571;2070594030bb
2020-11-10;3355.714286;2070594030bb
2020-11-11;3380.000000;2070594030bb
2020-11-12;3404.285714;2070594030b
2020-11-13;3428.571429;2070594030b
2020-11-14;3452.857143;2070594030b
2020-11-15;3477.142857;2070594030b
2020-11-16;3501.428571;2070594030b
2020-11-17;3525.714286;2070594030b
2020-11-18;3550.000000;2070594030b
2020-11-19;3574.285714;2070594030b
2020-11-20;3598.571429;2070594030b
2020-11-21;3622.857143;2070594030b
2020-11-22;3647.142857;2070594030b
2020-11-23;3671.428571;2070594030b
2020-11-24;3695.714286;2070594030b
2020-11-25;3720.000000;2070594030b
2020-11-26;3744.285714;2070594030b
2020-11-27;3768.571429;2070594030b
2020-11-28;3792.857143;2070594030b
2020-11-29;3817.142857;2070594030b
2020-11-30;3841.428571;2070594030b
2020-12-01;3865.714286;2070594030b
2020-12-02;3890.000000;2070594030b
2020-12-03;3914.285714;2070594030b
2020-12-04;3938.571429;2070594030b
2020-12-05;3962.857143;2070594030b
2020-12-06;3987.142857;2070594030b
2020-12-07;4011.428571;2070594030b
2020-12-08;4035.714286;2070594030b
2020-12-09;4060.000000;2070594030b
2020-12-10;4084.285714;2070594030b
2020-12-11;4108.571429;2070594030b
2020-12-12;4132.857143;2070594030b
2020-12-13;6.7;2070594030b
2020-12-14;4.9;2070594030b
2020-12-15;5.7;2070594030b
2020-12-16;6.0;2070594030b
2020-12-17;4.8;2070594030b
2020-12-18;4.9;2070594030b
2020-12-19;5.6;2070594030b
2020-12-20;5.8;2070594030b
2020-12-21;6.1;2070594030b
2020-12-22;6.4;2070594030b
2020-12-23;5.6;2070594030b
2020-12-24;5.1;2070594030b
2020-12-25;5.6;2070594030b
2020-12-26;6.1;2070594030b
2020-12-27;5.6;2070594030b
2020-12-28;5.5;2070594030b
2020-12-29;6.7;2070594030b
2020-12-30;4.9;2070594030b
2020-12-31;5.7;2070594030b
2021-01-01;6.0;2070594030b
2021-01-02;4.8;2070594030b
2021-01-03;4.9;2070594030b
2021-01-04;5.6;2070594030b
2021-01-05;5.8;2070594030b
2021-01-06;6.1;2070594030b
2021-01-07;6.4;2070594030b
2021-01-08;5.6;2070594030b
2021-01-09;5.1;2070594030b
2021-01-10;5.6;2070594030b
2021-01-11;6.1;2070594030b
2021-01-12;5.6;2070594030b
2021-01-13;5.5;2070594030b
2021-01-14;6.7;2070594030b
2021-01-15;4.9;2070594030b
2021-01-16;5.7;2070594030b
2021-01-17;6.0;2070594030b
2021-01-18;4.8;2070594030b
2021-01-19;4.9;2070594030b
2021-01-20;5.6;2070594030b
2021-01-21;5.8;2070594030b
2021-01-22;6.1;2070594030b
2021-01-23;6.4;2070594030b
2021-01-24;5.6;2070594030b
2021-01-25;5.1;2070594030b
2020-01-01;3.5;2070594040b
2020-01-02;3.0;2070594040b
2020-01-03;3.2;2070594040b
2020-01-04;3.1;2070594040b
2020-01-05;3.6;2070594040b
2020-01-06;3.9;2070594040b
2020-01-07;3.4;2070594040b
2020-01-08;3.4;2070594040b
2020-01-09;2.9;2070594040b
2020-01-10;3.1;2070594040b
2020-01-11;3.7;2070594040b
2020-01-12;3.4;2070594040b
2020-01-13;3.0;2070594040b
2020-01-14;3.0;2070594040b
2020-01-15;4.0;2070594040b
2020-01-16;4.4;2070594040b
2020-01-17;3.9;2070594040b
2020-01-18;3.5;2070594040b
2020-01-19;3.8;2070594040b
2020-01-20;3.8;2070594040b
2020-01-21;3.4;2070594040b
2020-01-22;3.7;2070594040b
2020-01-23;3.6;2070594040b
2020-01-24;3.4;2070594040b
2020-01-25;3.0;2070594040b
2020-01-26;3.4;2070594040b
2020-01-27;3.5;2070594040b
2020-01-28;3.4;2070594040b
2020-01-29;3.1;2070594040b
2020-01-30;3.4;2070594040b
2020-01-31;4.1;2070594040b
2020-02-01;4.2;2070594040b
2020-02-02;3.1;2070594040b
2020-02-03;3.2;2070594040b
2020-02-04;3.5;2070594040b
2020-02-05;3.1;2070594040b
2020-02-06;3.0;2070594040b
2020-02-07;3.4;2070594040b
2020-02-08;2.3;2070594040b
2020-02-09;3.2;2070594040b
2020-02-10;3.5;2070594040b
2020-02-11;3.8;2070594040b
2020-02-12;3.0;2070594040b
2020-02-13;3.8;2070594040b
2020-02-14;3.2;2070594040b
2020-02-15;3.7;2070594040b
2020-02-16;3.3;2070594040b
2020-02-17;3.2;2070594040b
2020-02-18;3.2;2070594040b
2020-02-19;3.1;2070594040b
2020-02-20;2.3;2070594040b
2020-02-21;2.8;2070594040b
2020-02-22;2.8;2070594040b
2020-02-23;3.3;2070594040b
2020-02-24;2.4;2070594040b
2020-02-25;2.9;2070594040b
2020-02-26;2.7;2070594040b
2020-02-27;3.0;2070594040b
2020-02-28;2.2;2070594040b
2020-02-29;2.9;2070594040b
2020-03-01;2.9;2070594040b
2020-03-02;3.1;2070594040b
2020-03-03;3.0;2070594040b
2020-03-04;2.7;2070594040b
2020-03-05;2.2;2070594040b
2020-03-06;2.5;2070594040b
2020-03-07;3.2;2070594040b
2020-03-08;2.8;2070594040b
2020-03-09;2.5;2070594040b
2020-03-10;2.8;2070594040b
2020-03-11;2.9;2070594040b
2020-03-12;3.0;2070594040b
2020-03-13;2.8;2070594040b
2020-03-14;3.0;2070594040b
2020-03-15;2.9;2070594040b
2020-03-16;2.6;2070594040b
2020-03-17;2.4;2070594040b
2020-03-18;2.4;2070594040b
2020-03-19;2.7;2070594040b
2020-03-20;2.7;2070594040b
2020-03-21;3.0;2070594040b
2020-03-22;3.4;2070594040b
2020-03-23;3.1;2070594040b
2020-03-24;2.3;2070594040b
2020-03-25;3.0;2070594040b
2020-03-26;2.5;2070594040b
2020-03-27;2.6;2070594040b
2020-03-28;3.0;2070594040b
2020-03-29;2.6;2070594040b
2020-03-30;2.3;2070594040b
2020-03-31;2.7;2070594040b
2020-04-01;3.0;2070594040b
2020-04-02;2.9;2070594040b
2020-04-03;2.9;2070594040b
2020-04-04;2.5;2070594040b
2020-04-05;2.8;2070594040b
2020-04-06;3.3;2070594040b
2020-04-07;2.7;2070594040b
2020-04-08;3.0;2070594040b
2020-04-09;2.9;2070594040b
2020-04-10;3.0;2070594040b
2020-04-11;3.0;2070594040b
2020-04-12;2.5;2070594040b
2020-04-13;2.9;2070594040b
2020-04-14;2.5;2070594040b
2020-04-15;3.6;2070594040b
2020-04-16;3.2;2070594040b
2020-04-17;2.7;2070594040b
2020-04-18;3.0;2070594040b
2020-04-19;2.5;2070594040b
2020-04-20;2.8;2070594040b
2020-04-21;3.2;2070594040b
2020-04-22;3.0;2070594040b
2020-04-23;3.8;2070594040b
